Plate,Side,Object,X,Y,Z,MeasDateTime
INT,CHAR,INT,FLOAT,FLOAT,FLOAT,LONGLONG
1,R,1,219.8754,199.9953,12.6999,20020703103517
1,R,2,-0.3411,199.7347,12.7000,20020703103517
1,R,3,-0.1046,100.0141,12.7000,20020703103517
1,R,4,0.0436,0.0091,12.6999,20020703103517
1,R,5,220.1513,0.0091,12.7000,20020703103517
1,R,6,220.0344,99.9800,12.6999,20020703103517
2,R,1,220.0859,199.8408,12.6999,20020703150809
2,R,2,-0.2189,199.7092,12.6998,20020703150809
2,R,3,-0.0132,99.8032,12.6999,20020703150809
2,R,4,-0.0497,0.0142,12.6999,20020703150809
2,R,5,220.4818,0.0061,12.6999,20020703150809
2,R,6,220.0815,99.9622,12.7000,20020703150809
