EDMSID,SurveyCode,Line,Plate,Side,Object,X,Y,Z,MeasDateTime
INT,INT,INT,INT,CHAR,INT,FLOAT,FLOAT,FLOAT,LONGLONG
393878,30011,0,1,R,1,218.3300,100.6100,782.5000,20030624111944
393878,30012,0,1,R,2,-1.8800,100.2400,781.6100,20030624111944
393878,30013,0,1,R,3,-1.6200,0.5200,781.2300,20030624111944
393878,30014,0,1,R,4,-1.4400,-99.4900,780.9200,20030624111944
393878,30015,0,1,R,5,218.6700,-99.3800,781.9000,20030624111944
393878,30016,0,1,R,6,218.5200,0.5900,782.2000,20030624111944
393878,30101,0,2,R,1,0.3900,100.2100,2284.6300,20030624111944
393878,30102,0,2,R,2,220.6600,100.1400,2287.5000,20030624111944
393878,30103,0,2,R,3,220.5200,0.2200,2286.8400,20030624111944
393878,30104,0,2,R,4,220.5900,-99.5500,2286.2000,20030624111944
393878,30105,0,2,R,5,0.0800,-99.6200,2283.2100,20030624111944
393878,30106,0,2,R,6,0.4400,0.2800,2283.8900,20030624111944
393878,31011,1,1,R,1,1936.3800,100.4900,781.4500,20030624113834
393878,31012,1,1,R,2,1716.1900,100.5600,782.5100,20030624113834
393878,31013,1,1,R,3,1716.2400,0.8500,782.2200,20030624113834
393878,31014,1,1,R,4,1716.2600,-99.1700,781.9500,20030624113834
393878,31015,1,1,R,5,1936.3500,-99.4700,780.9900,20030624113834
393878,31016,1,1,R,6,1936.3900,0.5000,781.2100,20030624113834
393878,31101,1,2,R,1,1716.2000,99.6200,2283.6400,20030624113834
393878,31102,1,2,R,2,1936.4600,99.6800,2286.8500,20030624113834
393878,31103,1,2,R,3,1936.3800,-0.2300,2286.2000,20030624113834
393878,31104,1,2,R,4,1936.5100,-100.0000,2285.6400,20030624113834
393878,31105,1,2,R,5,1716.0200,-100.2200,2282.3100,20030624113834
393878,31106,1,2,R,6,1716.3100,-0.3100,2282.9700,20030624113834
393878,32011,2,1,R,1,2062.4400,100.3600,780.5800,20030624115625
393878,32012,2,1,R,2,1842.2500,100.3300,782.9600,20030624115625
393878,32013,2,1,R,3,1842.3800,0.6100,782.6100,20030624115625
393878,32014,2,1,R,4,1842.4100,-99.3900,782.3400,20030624115625
393878,32015,2,1,R,5,2062.5200,-99.6200,780.1000,20030624115625
393878,32016,2,1,R,6,2062.4900,0.3700,780.3700,20030624115625
393878,32101,2,2,R,1,1840.8400,99.5700,2283.6100,20030624115625
393878,32102,2,2,R,2,2061.1300,99.8500,2286.7300,20030624115625
393878,32103,2,2,R,3,2061.1300,-0.0700,2286.1200,20030624115625
393878,32104,2,2,R,4,2061.3500,-99.8500,2285.5300,20030624115625
393878,32105,2,2,R,5,1840.8500,-100.2600,2282.2900,20030624115625
393878,32106,2,2,R,6,1841.0500,-0.3500,2282.9300,20030624115625
393878,33011,3,1,R,1,2516.7700,100.1400,779.9200,20030624122340
393878,33012,3,1,R,2,2296.5400,99.9100,781.5500,20030624122340
393878,33013,3,1,R,3,2296.7400,0.1800,780.9800,20030624122340
393878,33014,3,1,R,4,2296.8500,-99.8500,780.4900,20030624122340
393878,33015,3,1,R,5,2516.9800,-99.8500,778.9700,20030624122340
393878,33016,3,1,R,6,2516.8900,0.1300,779.4200,20030624122340
393878,33101,3,2,R,1,2296.0000,99.6500,2283.0500,20030624122340
393878,33102,3,2,R,2,2516.2800,100.0300,2287.5100,20030624122340
393878,33103,3,2,R,3,2516.3200,0.1000,2286.7400,20030624122340
393878,33104,3,2,R,4,2516.5800,-99.6800,2285.9600,20030624122340
393878,33105,3,2,R,5,2296.1300,-100.1700,2281.3800,20030624122340
393878,33106,3,2,R,6,2296.2700,-0.2600,2282.1900,20030624122340
393878,34011,4,1,R,1,3064.4100,99.9900,779.1800,20030624124028
393878,34012,4,1,R,2,2844.2000,100.0000,780.8000,20030624124028
393878,34013,4,1,R,3,2844.3000,0.2700,780.5000,20030624124028
393878,34014,4,1,R,4,2844.3200,-99.7400,780.2200,20030624124028
393878,34015,4,1,R,5,3064.4200,-100.0000,778.7100,20030624124028
393878,34016,4,1,R,6,3064.4600,-0.0200,778.9200,20030624124028
393878,34101,4,2,R,1,2844.0200,99.5400,2282.5100,20030624124028
393878,34102,4,2,R,2,3064.3100,99.6100,2285.9400,20030624124028
393878,34103,4,2,R,3,3064.2000,-0.2900,2285.1200,20030624124028
393878,34104,4,2,R,4,3064.3500,-100.0800,2284.3500,20030624124028
393878,34105,4,2,R,5,2843.8500,-100.2900,2280.8200,20030624124028
393878,34106,4,2,R,6,2844.1400,-0.3700,2281.6400,20030624124028
393878,35011,5,1,R,1,3840.9100,100.2400,778.4600,20030624125447
393878,35012,5,1,R,2,3620.6900,100.3900,779.4200,20030624125447
393878,35013,5,1,R,3,3620.7000,0.6400,779.1100,20030624125447
393878,35014,5,1,R,4,3620.6500,-99.3500,778.8300,20030624125447
393878,35015,5,1,R,5,3840.7800,-99.7800,777.9800,20030624125447
393878,35016,5,1,R,6,3840.8700,0.2300,778.1700,20030624125447
393878,35101,5,2,R,1,3621.1200,99.6100,2284.7400,20030624125447
393878,35102,5,2,R,2,3841.3800,99.5400,2286.7800,20030624125447
