Sensor_type,Sensor_number,ME_layer,Logical_Alignment_Name,CERN_Designator,CERN_Barcode,Abs_Slope,Abs_Slope_Error,Norm_Slope,Norm_Slope_Error,Abs_Intercept,Abs_Intercept_Error,Norm_Intercept,Norm_Intercept_Error,Shifts_due_to_shims_etc
CHAR,INT,CHAR,CHAR,CHAR,CHAR,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT
Zopt sensor,1,ME+1,ME+1-TP1-ZLB11,-,0,1.00541,0.00046,0.08993,0.00004,-15.7956,0.01129,-1.41284,0.00101,0
Zopt sensor,2,ME+1,ME+1-TP2-ZLB11,-,0,0.99674,0.00044,0.08916,0.00004,-15.72298,0.01132,-1.40639,0.00102,0
Zopt sensor,3,ME+1,ME+1-TP3-ZLB11,-,0,1.00562,0.00075,0.08994,0.00007,-15.8572,0.01328,-1.41827,0.00119,0
Zopt sensor,4,ME+1,ME+1-TP4-ZLB11,-,0,1.01357,0.00072,0.09066,0.00006,-15.90778,0.014,-1.42282,0.00125,0
Zopt sensor,5,ME+1,ME+1-TP5-ZLB11,-,0,1.03449,0.00065,0.09253,0.00006,-16.19434,0.0263,-1.44847,0.00236,0
Zopt sensor,6,ME+1,ME+1-TP6-ZLB11,-,0,1.02609,0.00025,0.09177,0.00002,-16.10538,0.01485,-1.44048,0.00133,0
Z2 sensor,7,ME+1,ME+1-TP1-ZLCP2>OUT,307EP10C00ASZ21>OUT,3071010000074210000,10.3253,0.0033,0.9247,0.0003,57.5582,0.0457,5.15472,0.0041,0
Z2 sensor,8,ME+1,ME+1-TP2-ZLCP2>OUT,307EP10C00ASZ22>OUT,3071010000074220000,10.3743,0.0019,0.9291,0.0002,57.6101,0.1276,5.15943,0.01143,0
Z2 sensor,9,ME+1,ME+1-TP3-ZLCP2>OUT,307EP10C00ASZ23>OUT,3071010000074230000,10.2914,0.0068,0.9216,0.0006,57.4863,0.033,5.1482,0.00297,0
Z2 sensor,10,ME+1,ME+1-TP4-ZLCP2>OUT,307EP10C00ASZ24>OUT,3071010000074240000,10.2774,0.0063,0.9204,0.0006,57.2061,0.026,5.1232,0.00233,0
Z2 sensor,11,ME+1,ME+1-TP5-ZLCP2>OUT,307EP10C00ASZ25>OUT,3071010000074250000,10.1338,0.0105,0.9075,0.0009,56.1667,0.0312,5.03008,0.0028,0
Z2 sensor,12,ME+1,ME+1-TP6-ZLCP2>OUT,307EP10C00ASZ26>OUT,3071010000074260000,10.3082,0.0011,0.9232,0.0001,57.1391,0.0455,5.11724,0.00406,0
Zopt sensor,13,ME-1,ME-1-TP1-ZLB11,-,0,1.0102,0.00031,0.09035,0.00003,-15.94952,0.00571,-1.42646,0.0005,0
Zopt sensor,14,ME-1,ME-1-TP2-ZLB11,-,0,1.01857,0.00061,0.0911,0.00006,-16.00466,0.00827,-1.43144,0.00074,0
Zopt sensor,15,ME-1,ME-1-TP3-ZLB11,-,0,1.03225,0.00033,0.09232,0.00003,-16.16054,0.00501,-1.44538,0.00044,0
Zopt sensor,16,ME-1,ME-1-TP4-ZLB11,-,0,1.03021,0.00043,0.09214,0.00004,-16.20396,0.00857,-1.44927,0.00077,0
Zopt sensor,17,ME-1,ME-1-TP5-ZLB11,-,0,1.01496,0.0001,0.09078,0.00001,-15.9543,0.01022,-1.42694,0.00091,0
